support,itemsets
0.6633333333333333,"frozenset({'(-0.003, 1.0]'})"
0.6516666666666666,frozenset({'Mortgage_NO'})
0.5066666666666667,frozenset({'Car_NO'})
0.5,frozenset({'FEMALE'})
0.475,"frozenset({'(4956.094, 24386.173]'})"
0.45666666666666667,frozenset({'Pep_YES'})
0.4483333333333333,frozenset({'INNER_CITY'})
0.3566666666666667,"frozenset({'(34.333, 50.667]'})"
0.34,frozenset({'Married_NO'})
0.31,frozenset({'Save_Account_NO'})
0.24166666666666667,frozenset({'Current_Account_NO'})
0.7583333333333333,frozenset({'Current_Account_YES'})
0.66,frozenset({'Married_YES'})
0.5433333333333333,frozenset({'Pep_NO'})
0.5,frozenset({'MALE'})
0.49333333333333335,frozenset({'Car_YES'})
0.39166666666666666,"frozenset({'(24386.173, 43758.137]'})"
0.34833333333333333,frozenset({'Mortgage_YES'})
0.28833333333333333,frozenset({'TOWN'})
0.69,frozenset({'Save_Account_YES'})
0.31833333333333336,"frozenset({'(50.667, 67.0]'})"
0.325,"frozenset({'(17.951, 34.333]'})"
0.22333333333333333,"frozenset({'(1.0, 2.0]'})"
0.5,"frozenset({'(-0.003, 1.0]', 'Current_Account_YES'})"
0.4483333333333333,"frozenset({'(-0.003, 1.0]', 'Save_Account_YES'})"
0.3433333333333333,"frozenset({'(-0.003, 1.0]', 'Current_Account_YES', 'Save_Account_YES'})"
0.41333333333333333,"frozenset({'(-0.003, 1.0]', 'Mortgage_NO'})"
0.5016666666666667,"frozenset({'Current_Account_YES', 'Mortgage_NO'})"
0.45,"frozenset({'Save_Account_YES', 'Mortgage_NO'})"
0.435,"frozenset({'Mortgage_NO', 'Married_YES'})"
0.32166666666666666,"frozenset({'(-0.003, 1.0]', 'Current_Account_YES', 'Mortgage_NO'})"
0.2866666666666667,"frozenset({'(-0.003, 1.0]', 'Mortgage_NO', 'Married_YES'})"
0.2783333333333333,"frozenset({'(-0.003, 1.0]', 'Save_Account_YES', 'Mortgage_NO'})"
0.22166666666666668,"frozenset({'(-0.003, 1.0]', 'Current_Account_YES', 'Mortgage_NO', 'Married_YES'})"
0.22333333333333333,"frozenset({'(-0.003, 1.0]', 'Current_Account_YES', 'Save_Account_YES', 'Mortgage_NO'})"
0.35333333333333333,"frozenset({'Current_Account_YES', 'Save_Account_YES', 'Mortgage_NO'})"
0.33166666666666667,"frozenset({'Current_Account_YES', 'Mortgage_NO', 'Married_YES'})"
0.30666666666666664,"frozenset({'Save_Account_YES', 'Mortgage_NO', 'Married_YES'})"
0.23666666666666666,"frozenset({'Save_Account_YES', 'Current_Account_YES', 'Mortgage_NO', 'Married_YES'})"
0.345,"frozenset({'Car_NO', '(-0.003, 1.0]'})"
0.3283333333333333,"frozenset({'Car_NO', 'Mortgage_NO'})"
0.39166666666666666,"frozenset({'Car_NO', 'Current_Account_YES'})"
0.33666666666666667,"frozenset({'Car_NO', 'Married_YES'})"
0.28,"frozenset({'Car_NO', 'Pep_NO'})"
0.3416666666666667,"frozenset({'Car_NO', 'Save_Account_YES'})"
0.265,"frozenset({'Car_NO', '(-0.003, 1.0]', 'Current_Account_YES'})"
0.21833333333333332,"frozenset({'Car_NO', '(-0.003, 1.0]', 'Mortgage_NO'})"
0.2633333333333333,"frozenset({'Car_NO', 'Current_Account_YES', 'Mortgage_NO'})"
0.22166666666666668,"frozenset({'Car_NO', 'Mortgage_NO', 'Married_YES'})"
0.215,"frozenset({'Car_NO', 'Mortgage_NO', 'Save_Account_YES'})"
0.25166666666666665,"frozenset({'Car_NO', 'Current_Account_YES', 'Married_YES'})"
0.23333333333333334,"frozenset({'Car_NO', '(-0.003, 1.0]', 'Married_YES'})"
0.22166666666666668,"frozenset({'Car_NO', 'Save_Account_YES', 'Married_YES'})"
0.21,"frozenset({'Car_NO', 'Pep_NO', 'Married_YES'})"
0.20833333333333334,"frozenset({'Car_NO', 'Current_Account_YES', 'Pep_NO'})"
0.225,"frozenset({'Car_NO', '(-0.003, 1.0]', 'Save_Account_YES'})"
0.265,"frozenset({'Car_NO', 'Current_Account_YES', 'Save_Account_YES'})"
0.3416666666666667,"frozenset({'FEMALE', 'Mortgage_NO'})"
0.33,"frozenset({'(-0.003, 1.0]', 'FEMALE'})"
0.255,"frozenset({'Car_NO', 'FEMALE'})"
0.38333333333333336,"frozenset({'FEMALE', 'Current_Account_YES'})"
0.3433333333333333,"frozenset({'FEMALE', 'Save_Account_YES'})"
0.325,"frozenset({'FEMALE', 'Married_YES'})"
0.2833333333333333,"frozenset({'FEMALE', 'Pep_NO'})"
0.265,"frozenset({'FEMALE', 'Current_Account_YES', 'Mortgage_NO'})"
0.23,"frozenset({'FEMALE', 'Save_Account_YES', 'Mortgage_NO'})"
0.21666666666666667,"frozenset({'(-0.003, 1.0]', 'FEMALE', 'Mortgage_NO'})"
0.255,"frozenset({'(-0.003, 1.0]', 'FEMALE', 'Current_Account_YES'})"
0.22333333333333333,"frozenset({'(-0.003, 1.0]', 'FEMALE', 'Save_Account_YES'})"
0.2,"frozenset({'Car_NO', 'FEMALE', 'Current_Account_YES'})"
0.26666666666666666,"frozenset({'FEMALE', 'Current_Account_YES', 'Save_Account_YES'})"
0.24333333333333335,"frozenset({'FEMALE', 'Current_Account_YES', 'Married_YES'})"
0.23,"frozenset({'FEMALE', 'Mortgage_NO', 'Married_YES'})"
0.22833333333333333,"frozenset({'FEMALE', 'Save_Account_YES', 'Married_YES'})"
0.22166666666666668,"frozenset({'(-0.003, 1.0]', 'FEMALE', 'Married_YES'})"
0.21333333333333335,"frozenset({'FEMALE', 'Current_Account_YES', 'Pep_NO'})"
0.21166666666666667,"frozenset({'FEMALE', 'Pep_NO', 'Married_YES'})"
0.20333333333333334,"frozenset({'FEMALE', 'Save_Account_YES', 'Pep_NO'})"
0.31833333333333336,"frozenset({'(-0.003, 1.0]', '(4956.094, 24386.173]'})"
0.31333333333333335,"frozenset({'(4956.094, 24386.173]', 'Mortgage_NO'})"
0.27,"frozenset({'Car_NO', '(4956.094, 24386.173]'})"
0.22666666666666666,"frozenset({'(4956.094, 24386.173]', 'FEMALE'})"
0.35833333333333334,"frozenset({'(4956.094, 24386.173]', 'Current_Account_YES'})"
0.325,"frozenset({'(4956.094, 24386.173]', 'Married_YES'})"
0.29333333333333333,"frozenset({'(4956.094, 24386.173]', 'Pep_NO'})"
0.285,"frozenset({'(4956.094, 24386.173]', 'Save_Account_YES'})"
0.205,"frozenset({'Car_YES', '(4956.094, 24386.173]'})"
0.24833333333333332,"frozenset({'MALE', '(4956.094, 24386.173]'})"
0.23833333333333334,"frozenset({'(-0.003, 1.0]', 'Current_Account_YES', '(4956.094, 24386.173]'})"
0.22166666666666668,"frozenset({'(-0.003, 1.0]', '(4956.094, 24386.173]', 'Married_YES'})"
0.20166666666666666,"frozenset({'(-0.003, 1.0]', 'Mortgage_NO', '(4956.094, 24386.173]'})"
0.23833333333333334,"frozenset({'(4956.094, 24386.173]', 'Current_Account_YES', 'Mortgage_NO'})"
0.22166666666666668,"frozenset({'(4956.094, 24386.173]', 'Mortgage_NO', 'Married_YES'})"
0.20333333333333334,"frozenset({'Car_NO', '(4956.094, 24386.173]', 'Current_Account_YES'})"
0.24,"frozenset({'(4956.094, 24386.173]', 'Current_Account_YES', 'Married_YES'})"
0.22,"frozenset({'(4956.094, 24386.173]', 'Current_Account_YES', 'Pep_NO'})"
0.21333333333333335,"frozenset({'(4956.094, 24386.173]', 'Pep_NO', 'Married_YES'})"
0.22,"frozenset({'(4956.094, 24386.173]', 'Current_Account_YES', 'Save_Account_YES'})"
0.3433333333333333,"frozenset({'Pep_YES', '(-0.003, 1.0]'})"
0.30333333333333334,"frozenset({'Pep_YES', 'Mortgage_NO'})"
0.22666666666666666,"frozenset({'Car_NO', 'Pep_YES'})"
0.21666666666666667,"frozenset({'Pep_YES', 'FEMALE'})"
0.3516666666666667,"frozenset({'Pep_YES', 'Current_Account_YES'})"
0.29833333333333334,"frozenset({'Pep_YES', 'Save_Account_YES'})"
0.25666666666666665,"frozenset({'Pep_YES', 'Married_YES'})"
0.24,"frozenset({'Pep_YES', 'MALE'})"
0.23,"frozenset({'Car_YES', 'Pep_YES'})"
0.26,"frozenset({'Pep_YES', '(-0.003, 1.0]', 'Current_Account_YES'})"
0.21333333333333335,"frozenset({'Pep_YES', '(-0.003, 1.0]', 'Mortgage_NO'})"
0.23833333333333334,"frozenset({'Pep_YES', 'Current_Account_YES', 'Mortgage_NO'})"
0.23333333333333334,"frozenset({'Pep_YES', 'Current_Account_YES', 'Save_Account_YES'})"
0.21333333333333335,"frozenset({'Pep_YES', 'Save_Account_YES', 'Mortgage_NO'})"
0.205,"frozenset({'Pep_YES', '(-0.003, 1.0]', 'Save_Account_YES'})"
0.31,"frozenset({'(-0.003, 1.0]', 'INNER_CITY'})"
0.2916666666666667,"frozenset({'Mortgage_NO', 'INNER_CITY'})"
0.23166666666666666,"frozenset({'Car_NO', 'INNER_CITY'})"
0.22666666666666666,"frozenset({'(4956.094, 24386.173]', 'INNER_CITY'})"
0.21833333333333332,"frozenset({'FEMALE', 'INNER_CITY'})"
0.205,"frozenset({'Pep_YES', 'INNER_CITY'})"
0.3416666666666667,"frozenset({'Current_Account_YES', 'INNER_CITY'})"
0.2966666666666667,"frozenset({'INNER_CITY', 'Married_YES'})"
0.28833333333333333,"frozenset({'Save_Account_YES', 'INNER_CITY'})"
0.24333333333333335,"frozenset({'INNER_CITY', 'Pep_NO'})"
0.21666666666666667,"frozenset({'Car_YES', 'INNER_CITY'})"
0.23,"frozenset({'MALE', 'INNER_CITY'})"
0.23166666666666666,"frozenset({'(-0.003, 1.0]', 'Current_Account_YES', 'INNER_CITY'})"
0.22666666666666666,"frozenset({'Current_Account_YES', 'Mortgage_NO', 'INNER_CITY'})"
0.22666666666666666,"frozenset({'Current_Account_YES', 'INNER_CITY', 'Married_YES'})"
0.20833333333333334,"frozenset({'(-0.003, 1.0]', 'INNER_CITY', 'Married_YES'})"
